model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,0,0.004464,2.840546131134033,2.8327345848083496,0.03448275849223137,0.04624277353286743,,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,1000,1.513828,0.029002632945775986,7.877755165100098,1.0,0.41040462255477905,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,2000,3.005177,0.01323670707643032,7.968693733215332,1.0,0.41040462255477905,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,3000,4.517009,0.008206271566450596,8.288912773132324,1.0,0.4219653308391571,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,4000,6.046954,0.0054282816126942635,8.294920921325684,1.0,0.4393063485622406,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,5000,7.57538,0.0036800233647227287,8.631807327270508,1.0,0.4393063485622406,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,6000,9.086784,0.002435804344713688,8.927940368652344,1.0,0.45086705684661865,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,7000,10.647511,0.0015883160522207618,9.242571830749512,1.0,0.4797687828540802,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,8000,12.285301,0.0011058731470257044,9.603253364562988,1.0,0.46820810437202454,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,9000,13.877508,0.0007472032448276877,9.852144241333008,1.0,0.4624277353286743,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,10000,15.477551,0.0005211139214225113,10.083540916442871,1.0,0.46820810437202454,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,11000,17.12271,0.00037262437399476767,10.361673355102539,1.0,0.4624277353286743,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,12000,18.769951,0.00024734734324738383,10.723523139953613,1.0,0.47398844361305237,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,13000,20.439722,0.000171426945598796,10.915691375732422,1.0,0.46820810437202454,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,14000,22.061136,0.00011502487177494913,10.879064559936523,1.0,0.5028901696205139,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,15000,23.768092,7.5902535172645e-05,11.157157897949219,1.0,0.5086705088615417,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,16000,25.414169,0.0016023742500692606,8.34457778930664,1.0,0.5375722646713257,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,17000,26.902019,0.019138585776090622,3.4024760723114014,1.0,0.6011560559272766,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,18000,28.456477,0.01003191713243723,3.3457298278808594,1.0,0.6300578117370605,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,19000,29.978493,0.0064323898404836655,3.252031087875366,1.0,0.6127167344093323,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,20000,31.544107,0.004280226305127144,3.6415231227874756,1.0,0.5838150382041931,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,21000,33.092345,0.0029966116417199373,4.7363739013671875,1.0,0.5664739608764648,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,22000,34.5781,0.0021578145679086447,5.8944268226623535,1.0,0.5549132823944092,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,23000,36.106269,0.0015078771393746138,6.6325907707214355,1.0,0.5433526039123535,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,24000,37.698703,0.0010415954748168588,7.194047451019287,1.0,0.5317919254302979,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,25000,39.212009,0.0007405035430565476,7.757370948791504,1.0,0.5317919254302979,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,26000,40.818218,0.0005295224254950881,9.017013549804688,1.0,0.5433526039123535,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,27000,42.391621,0.00037312490167096257,10.04840087890625,1.0,0.5317919254302979,1000,
mlp,all_pairs,17,0.4,scalar,1,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m17_scalar_seed1_50k.csv,116,173,cpu,28000,44.000969,0.0002498608373571187,10.667593002319336,1.0,0.5028901696205139,1000,
