model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,0,0.003113,1.936194658279419,1.9559956789016724,0.30000001192092896,0.06896551698446274,,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,500,0.517865,0.008923004381358624,7.417266845703125,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,1000,1.003707,0.003896523965522647,8.224503517150879,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,1500,1.524605,0.0022937809117138386,8.726112365722656,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,2000,2.038759,0.0015918100252747536,8.891736030578613,1.0,0.17241379618644714,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,2500,2.572069,0.0011974864173680544,9.017827987670898,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,3000,3.110725,0.0009314846247434616,9.15593147277832,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,3500,3.633081,0.0007332247914746404,9.303910255432129,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,4000,4.173418,0.0005794313619844615,9.454444885253906,1.0,0.2068965584039688,500,
mlp,all_pairs,7,0.4,fourier,4,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_fourier_seed4_30k.csv,20,29,cpu,4500,4.710946,0.0004575506900437176,9.617622375488281,1.0,0.17241379618644714,500,
