model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,0,0.003738,1.960282564163208,1.9393390417099,0.10000000149011612,0.24137930572032928,,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,500,0.525862,0.005372840911149979,13.233543395996094,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,1000,1.047835,0.002131453715264797,14.854105949401855,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,1500,1.585839,0.001157929771579802,15.842317581176758,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,2000,2.134738,0.0007606209255754948,16.333606719970703,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,2500,2.642791,0.0005499914987012744,16.63581657409668,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,3000,3.177522,0.00041624726145528257,16.86897850036621,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,3500,3.672621,0.0003231514128856361,17.109893798828125,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,4000,4.218228,0.00025395359261892736,17.386831283569336,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,4500,4.756661,0.00019993484602309763,17.671558380126953,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,5000,5.261634,0.00015776049986016005,17.96381950378418,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,5500,5.760033,0.00012438683188520372,18.346546173095703,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,6000,6.290419,9.813402721192688e-05,18.801542282104492,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,6500,6.789142,7.815043500158936e-05,19.212690353393555,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,7000,7.292487,6.25828470219858e-05,19.562732696533203,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,7500,7.776471,4.9703026888892055e-05,19.847286224365234,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,8000,8.32911,3.921905590686947e-05,20.01898193359375,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,8500,8.887226,3.124424256384373e-05,20.122278213500977,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,9000,9.424792,2.495017906767316e-05,20.268970489501953,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,9500,9.942001,1.9824299670290202e-05,20.48832893371582,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,10000,10.453383,1.5699733921792358e-05,20.756576538085938,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,10500,10.951186,1.2457288903533481e-05,21.06538200378418,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,11000,11.447965,9.828754627960734e-06,21.43309211730957,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,11500,11.951181,7.784334229654633e-06,21.84244155883789,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,12000,12.480408,6.1690611801168416e-06,22.233566284179688,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,12500,13.008495,4.899489340459695e-06,22.5396785736084,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,13000,13.543118,3.892174845532281e-06,22.754722595214844,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,13500,14.101785,3.1113572731555905e-06,22.924283981323242,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,14000,14.602377,2.467628746671835e-06,23.11132049560547,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,14500,15.109493,1.960991085070418e-06,23.35378074645996,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,15000,15.624787,1.5676008615628234e-06,23.5875244140625,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,15500,16.144541,1.245736484634108e-06,23.861892700195312,1.0,0.0,500,
mlp,all_pairs,7,0.4,onehot,1,30000,500,0,0.001,1.0,128,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_m7_onehot_seed1_30k.csv,20,29,cpu,16000,16.666891,9.9539704478957e-07,24.163511276245117,1.0,0.0,500,
