model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,period,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,0,0.003619,2.847857713699341,2.802389621734619,0.0,0.13636364042758942,,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,1000,1.149029,0.002228860277682543,19.06159210205078,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,2000,2.35499,0.000796130218077451,19.738500595092773,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,3000,3.543548,0.0004238759574946016,18.846534729003906,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,4000,4.751275,0.0002485393488314003,18.487018585205078,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,5000,5.955231,0.0001523010723758489,18.54631233215332,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,6000,7.170315,9.547251829644665e-05,19.001060485839844,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,7000,8.371375,6.142452184576541e-05,19.562803268432617,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,8000,9.572276,3.9389200537698343e-05,20.3867244720459,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,9000,10.805247,2.5289004042861052e-05,21.485633850097656,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,10000,11.970424,1.5922796592349187e-05,23.180280685424805,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,11000,13.136178,9.851735740085132e-06,24.971107482910156,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,12000,14.392635,6.224403932719724e-06,26.270530700683594,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,13000,15.616977,3.959441983170109e-06,27.298173904418945,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,14000,16.815956,2.5715105493873125e-06,28.124284744262695,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,15000,18.086492,1.6859582956385566e-06,29.43426513671875,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,16000,19.330553,1.1069425909226993e-06,30.34313201904297,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,17000,20.693917,7.322854003177781e-07,30.948030471801758,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,18000,22.09217,5.023819085181458e-07,31.228429794311523,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,19000,23.506936,3.746577306174004e-07,34.42559814453125,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,20000,24.905625,2.980231954552437e-07,34.068626403808594,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,21000,26.449332,2.2990361969732476e-07,35.7139892578125,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,22000,27.972792,1.7029897492193413e-07,36.29158401489258,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,23000,29.315393,0.00411961879581213,26.87639617919922,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,24000,30.552488,0.00026275552227161825,87.14402770996094,1.0,0.0,1000,
mlp,trajectory,17,0.4,fourier,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_fourier_seed0_50k.csv,14,22,36,cpu,25000,31.76857,8.448802691418678e-05,54.07187271118164,1.0,0.0,1000,
