model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,period,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,0,0.003638,2.830186367034912,2.833453416824341,0.1428571492433548,0.04545454680919647,,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,1000,1.246846,0.0010074508609250188,6.565776348114014,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,2000,2.460637,0.0003503929474391043,6.986575126647949,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,3000,3.680412,0.00018803382408805192,7.237224102020264,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,4000,4.881798,0.00010953841410810128,7.435054302215576,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,5000,6.078241,6.557982123922557e-05,7.634893894195557,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,6000,7.356342,4.040255589643493e-05,7.873388290405273,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,7000,8.603393,2.534014311095234e-05,8.175640106201172,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,8000,9.798865,1.5871732102823444e-05,8.532111167907715,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,9000,11.049264,9.84322923613945e-06,8.869338035583496,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,10000,12.307864,6.071138614061056e-06,9.13534164428711,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,11000,13.508748,3.6954807001166046e-06,9.368888854980469,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,12000,14.781381,2.3075483568391064e-06,9.540767669677734,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,13000,16.059359,1.439025368199509e-06,9.724648475646973,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,14000,17.330505,9.281289976570406e-07,9.972687721252441,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,15000,18.666683,5.875313604519761e-07,10.201752662658691,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,16000,19.987783,3.831726758107834e-07,10.342768669128418,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,17000,21.380805,2.8099330506847764e-07,10.56259822845459,1.0,0.0,1000,
mlp,trajectory,17,0.4,onehot,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_onehot_seed0_50k.csv,14,22,36,cpu,18000,22.878035,1.9584381050208322e-07,11.149429321289062,1.0,0.0,1000,
