model,task,modulus,train_frac,encoding,seed,steps,eval_every,batch_size,lr,weight_decay,hidden_dim,depth,activation,kan_grid,kan_k,kan_grid_min,kan_grid_max,device,threshold,stop_at_test_acc,output,n_train,n_test,period,device_resolved,step,elapsed_sec,train_loss,test_loss,train_acc,test_acc,first_fit_step,first_generalization_step
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,0,0.003303,2.8311848640441895,2.8510353565216064,0.0714285746216774,0.0,,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,1000,1.157105,0.006151989102363586,39.72842025756836,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,2000,2.354251,0.002552929800003767,44.0531005859375,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,3000,3.531465,0.0014777836622670293,48.81195068359375,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,4000,4.696756,0.0009143810602836311,53.3608283996582,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,5000,5.882616,0.0005712108104489744,57.925601959228516,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,6000,7.100811,0.0003536324657034129,61.90521240234375,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,7000,8.316021,0.00021918067068327218,65.81173706054688,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,8000,9.533389,0.0001367102813674137,68.82881927490234,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,9000,10.782265,8.619120490038767e-05,71.95606994628906,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,10000,11.98215,5.428056829259731e-05,74.57063293457031,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,11000,13.192601,3.347992605995387e-05,76.35370635986328,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,12000,14.439123,2.0971989215468056e-05,78.83319091796875,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,13000,15.61644,1.3129922990628984e-05,81.85987854003906,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,14000,16.780533,8.583014277974144e-06,84.47565460205078,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,15000,18.020106,5.62835839446052e-06,87.25312042236328,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,16000,19.241628,3.8146863516885787e-06,90.43924713134766,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,17000,20.499964,2.6055695343529806e-06,94.30213165283203,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,18000,21.777229,1.8562561763246777e-06,91.13431549072266,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,19000,23.100817,1.370905351905094e-06,82.54208374023438,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,20000,24.368493,1.0132782790606143e-06,78.01348114013672,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,21000,25.707621,7.748599273327272e-07,79.89077758789062,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,22000,27.027286,6.215910275386705e-07,85.26374053955078,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,23000,28.366781,5.36441632448259e-07,89.8384780883789,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,24000,29.629789,4.938669349030533e-07,83.53865051269531,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,25000,30.937427,4.768370729379967e-07,82.84904479980469,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,26000,32.192688,4.257473733559891e-07,81.78632354736328,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,27000,33.395835,3.8317261896736454e-07,77.40208435058594,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,28000,34.668449,3.661427570023079e-07,74.58612060546875,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,29000,35.893639,3.7465770219569094e-07,73.70704650878906,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,30000,37.105419,3.7465770219569094e-07,72.66011047363281,1.0,0.0,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,31000,38.340564,3.4911286661554186e-07,71.82756042480469,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,32000,39.566747,3.661427570023079e-07,70.93109893798828,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,33000,40.771923,3.746576737739815e-07,70.14443969726562,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,34000,42.015285,3.576278118089249e-07,69.3306884765625,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,35000,43.277417,3.4911286661554186e-07,69.13348388671875,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,36000,44.485159,3.661427570023079e-07,70.03264617919922,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,37000,45.697988,3.746576737739815e-07,70.98880004882812,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,38000,46.923027,3.746576737739815e-07,71.94329071044922,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,39000,48.144677,4.4277726374275517e-07,72.96308135986328,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,40000,49.384991,4.172324281626061e-07,72.51451873779297,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,41000,50.615781,4.002025093541306e-07,72.29109954833984,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,42000,51.811349,3.8317261896736454e-07,72.92837524414062,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,43000,53.012395,3.746576737739815e-07,74.30748748779297,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,44000,54.218487,4.342622901276627e-07,76.53644561767578,1.0,0.04545454680919647,1000,
mlp,trajectory,17,0.4,scalar,not_used,50000,1000,0,0.001,1.0,256,2,gelu,5,3,-1.0,1.0,auto,0.99,0.0,outputs\modular_traj_m17_scalar_seed0_50k.csv,14,22,36,cpu,45000,55.395872,4.342622901276627e-07,77.7518310546875,1.0,0.04545454680919647,1000,
