model,seed,target,n_params,dtype,loss,optimizer,lr,weight_decay,grad_clip,scheduler,activation,curriculum,curriculum_steps,band,start_index,train_end,near_end,mid_end,far_end,elapsed_sec,mean_rel_ae,median_rel_ae,max_rel_ae,mean_log_ae,negative_predictions,monotonicity_violations
log_linear,analytic,log1p,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,train,10,30,35,45,60,0.0002933000214397907,0.002400127223554477,0.0021063321924458625,0.010693088854714651,0.0023893137462004227,0,0
log_linear,analytic,log1p,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,near,10,30,35,45,60,0.0002933000214397907,0.004424702868995044,0.004424896074338572,0.005448264595421586,0.004434783781386642,0,0
log_linear,analytic,log1p,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,mid,10,30,35,45,60,0.0002933000214397907,0.00825641448481672,0.008257454323933024,0.010550113608355552,0.008291778435025775,0,0
log_linear,analytic,log1p,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,far,10,30,35,45,60,0.0002933000214397907,0.014610394595247067,0.014612827256903757,0.01815401593220297,0.014720646342565875,0,0
log_linear,analytic,log1p,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,future_all,10,30,35,45,60,0.0002933000214397907,0.010794785937394946,0.01080449040970852,0.01815401593220297,0.010863379946522637,0,0
poly_raw,analytic,raw,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,train,10,30,35,45,60,0.0002797000342980027,1.2125909543806856e-12,3.441694658593786e-14,1.9314360212196005e-11,1.1945576802862065e-12,0,0
poly_raw,analytic,raw,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,near,10,30,35,45,60,0.0002797000342980027,0.024936799587446417,0.005514994029314573,0.092737947263014,0.02592343936606767,0,0
poly_raw,analytic,raw,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,mid,10,30,35,45,60,0.0002797000342980027,23.29662561700991,10.328737003979146,86.86591873473584,15.500489511166545,8,9
poly_raw,analytic,raw,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,far,10,30,35,45,60,0.0002797000342980027,652.8681523973238,647.1446817288682,1189.4526556017686,24.69950777203691,15,14
poly_raw,analytic,raw,analytic,float64,mse,adamw,0.001,0.0001,0.0,none,silu,,0,future_all,10,30,35,45,60,0.0002797000342980027,334.2037742042631,105.55675340606061,1189.4526556017686,17.520904296301648,23,24
